carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,BIOMASS_Ec_iML1515_core_75p37M,condition
EX_glc__D_e,0.0,0.0,0.0,2.379237688236386,0.23792376882363858,0.21413179870302348,0.6462084737883119,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,1.9061011752680752,0.1906101175268075,0.17154943164701084,0.6923662219160485,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,1.4295758814510653,0.14295758814510653,0.12866207373525892,0.738523970043785,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,0.9530505876339563,0.09530505876339564,0.08577471582349812,0.7846817181715215,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,0.47652529381673203,0.047652529381673206,0.0428873579117269,0.8308394662992581,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,0.0,0.0,0.0,0.8769972144269946,high_cdiGMP
EX_glc__D_e,0.0,0.0,0.0,18.18019417475729,0.9090097087378645,0.8181102919348655,0.0,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,18.081684236282094,0.9040842118141047,0.8136773362827016,0.009746665403824727,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.983174297806922,0.899158714890346,0.8092443806305387,0.019493330807649454,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.88466435933176,0.8942332179665881,0.8048114249783763,0.029239996211474183,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.786154420856583,0.8893077210428292,0.8003784693262131,0.03898666161529891,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.68764448238139,0.8843822241190696,0.7959455136740494,0.04873332701912363,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.58913376493006,0.879456688246503,0.7915125229678929,0.058479992422948365,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.49062369662545,0.8745311848312725,0.7870795614733941,0.06822665782677309,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.39211362832094,0.8696056814160469,0.7826465999789,0.07797332323059782,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.293603560016393,0.8646801780008196,0.7782136384844043,0.08771998863442254,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.195093491711845,0.8597546745855922,0.7737806769899084,0.09746665403824727,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,17.096583423407285,0.8548291711703643,0.7693477154954119,0.10721331944207199,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.99807335510274,0.849903667755137,0.7649147540009162,0.11695998484589673,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.899563286798216,0.8449781643399109,0.7604817925064213,0.12670665024972144,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.801053218493674,0.8400526609246837,0.7560488310119258,0.13645331565354618,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.702543150189108,0.8351271575094554,0.751615869517429,0.1461999810573709,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.604033081884566,0.8302016540942283,0.7471829080229334,0.15594664646119563,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.505523013580007,0.8252761506790004,0.7427499465284372,0.16569331186502037,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.407012945275465,0.8203506472637732,0.7383169850339415,0.17543997726884508,combined_eps_state
EX_glc__D_e,0.0,0.0,0.0,16.308502876970934,0.8154251438485467,0.7338840235394464,0.18518664267266982,combined_eps_state
